panel,feature,side,source_family,rows,observed_rows,coverage_fraction,below_threshold,reason_code,reason,completion_method,source_missing_rows,completed_missing_rows
annual,corner3_frequency,offense,player_sheet,6942,5682,0.8184961106309421,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,recovered_blocks_p100,offense+defense,player_sheet,6942,5823,0.8388072601555747,True,missing_player_sheet_input,The player sheet lacks RecoveredBlocks or DefPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,lost_ball_turnover_share,offense,player_sheet,6942,5968,0.8596946125036012,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,lost_ball_turnovers_p100,offense,player_sheet,6942,5968,0.8596946125036012,True,missing_player_sheet_input,The player sheet lacks LostBallTurnovers or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,open_3_accuracy,offense,player_sheet,6942,5971,0.8601267646211467,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,arc3_fga_p100,offense,player_sheet,6942,5993,0.8632958801498127,True,missing_player_sheet_input,The player sheet lacks Arc3FGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,arc3_frequency,offense,player_sheet,6942,5993,0.8632958801498127,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,long_mid_fga_p100,offense,player_sheet,6942,6100,0.8787093056755978,True,missing_player_sheet_input,The player sheet lacks LongMidRangeFGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,long_mid_frequency,offense,player_sheet,6942,6100,0.8787093056755978,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,short_mid_accuracy,offense,player_sheet,6942,6109,0.8800057620282339,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,wide_open_3_accuracy,offense,player_sheet,6942,6268,0.9029098242581388,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,shooting_fouls_drawn_p100,offense,player_sheet,6942,6270,0.9031979256698358,True,missing_player_sheet_input,The player sheet lacks ShootingFoulsDrawn or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,live_ball_turnover_share,offense,player_sheet,6942,6282,0.9049265341400172,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,live_ball_turnovers_p100,offense,player_sheet,6942,6282,0.9049265341400172,True,missing_player_sheet_input,The player sheet lacks LiveBallTurnovers or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,FTM_p100,offense+defense,player_sheet,6942,6293,0.9065110919043504,True,missing_player_sheet_input,The player sheet lacks FTM or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,ft_pct,offense+defense,player_sheet,6942,6293,0.9065110919043504,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,at_rim_accuracy,offense,player_sheet,6942,6327,0.911408815903198,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,short_mid_fga_p100,offense,player_sheet,6942,6347,0.9142898300201672,True,missing_player_sheet_input,The player sheet lacks ShortMidRangeFGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,short_mid_frequency,offense,player_sheet,6942,6347,0.9142898300201672,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,catch_shoot_3_accuracy,offense,player_sheet,6942,6363,0.9165946413137424,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,at_rim_fga_p100,offense,player_sheet,6942,6371,0.91774704696053,True,missing_player_sheet_input,The player sheet lacks AtRimFGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,at_rim_frequency,offense,player_sheet,6942,6371,0.91774704696053,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,FG2M_p100,offense+defense,player_sheet,6942,6383,0.9194756554307116,True,missing_player_sheet_input,The player sheet lacks FG2M or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,fg2_pct,offense+defense,player_sheet,6942,6383,0.9194756554307116,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,shot_quality_average,offense,player_sheet,6942,6430,0.9262460386055892,True,missing_weighted_average_input,"The player sheet lacks ShotQualityAvg, or has no positive FGA weight, for some player-seasons.",same_season_median,0,0
annual,fg3_pct,offense+defense,player_sheet,6942,6443,0.9281186977816192,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,pull_up_accuracy,offense,player_sheet,6942,6460,0.9305675597810428,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,elbow_points_per_touch,defense,player_sheet,6942,6467,0.931575914721982,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,very_tight_accuracy,offense,player_sheet,6942,6490,0.9348890809564968,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,very_tight_fga_p100,offense,player_sheet,6942,6490,0.9348890809564968,True,missing_player_sheet_input,The player sheet lacks very_tight_FGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,drive_assists_per_drive,defense,player_sheet,6942,6681,0.9624027657735524,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,drive_fta_per_drive,defense,player_sheet,6942,6681,0.9624027657735524,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,drive_points_per_drive,defense,player_sheet,6942,6681,0.9624027657735524,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,drive_turnovers_per_drive,offense,player_sheet,6942,6681,0.9624027657735524,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,paint_points_per_touch,defense,player_sheet,6942,6690,0.9636992221261884,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,bad_pass_turnover_share,offense,player_sheet,6942,6693,0.9641313742437336,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,wide_open_accuracy,offense,player_sheet,6942,6713,0.9670123883607028,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,wide_open_fga_p100,offense,player_sheet,6942,6713,0.9670123883607028,True,missing_player_sheet_input,The player sheet lacks wide_open_FGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,catch_shoot_accuracy,offense,player_sheet,6942,6722,0.9683088447133392,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,open_accuracy,offense,player_sheet,6942,6762,0.9740708729472776,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,open_fga_p100,offense,player_sheet,6942,6762,0.9740708729472776,True,missing_player_sheet_input,The player sheet lacks open_FGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,tight_accuracy,offense,player_sheet,6942,6795,0.9788245462402766,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_eb,0,0
annual,tight_fga_p100,offense,player_sheet,6942,6795,0.9788245462402766,True,missing_player_sheet_input,The player sheet lacks tight_FGA or OffPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,rim_dfga_p100,defense,rim_dfg,6942,6819,0.9822817631806396,True,no_rim_defended_shot_row,The rim-defense dashboard omits player-seasons without an observed rim defended-shot row. The pipeline does not treat that absence as zero defense.,zero_with_source_availability_flag,123,0
annual,rim_diff_pct_eb,defense,rim_dfg,6942,6819,0.9822817631806396,True,no_rim_defended_shot_row,The rim-defense dashboard omits player-seasons without an observed rim defended-shot row. The pipeline does not treat that absence as zero defense.,zero_with_source_availability_flag,123,0
annual,rim_points_saved_p100,defense,rim_dfg,6942,6819,0.9822817631806396,True,no_rim_defended_shot_row,The rim-defense dashboard omits player-seasons without an observed rim defended-shot row. The pipeline does not treat that absence as zero defense.,zero_with_source_availability_flag,123,0
annual,dreb_chances_p100,offense+defense,player_sheet,6942,6846,0.986171132238548,True,missing_player_sheet_input,The player sheet lacks DREB_CHANCES or DefPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,dreb_contests_p100,offense+defense,player_sheet,6942,6846,0.986171132238548,True,missing_player_sheet_input,The player sheet lacks DREB_CONTEST or DefPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,rebound_chances_p100,offense+defense,player_sheet,6942,6846,0.986171132238548,True,missing_player_sheet_input,The player sheet lacks REB_CHANCES or DefPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,rebound_contests_p100,offense+defense,player_sheet,6942,6846,0.986171132238548,True,missing_player_sheet_input,The player sheet lacks REB_CONTEST or DefPoss for some rows. Most broad per-100 gaps come from missing lineup-derived OffPoss/DefPoss on low-exposure player-seasons; event-specific tracking fields add more gaps.,zero_event_rate_with_known_exposure,0,0
annual,true_shooting_pct,offense+defense,player_sheet,6942,6860,0.9881878421204264,True,zero_opportunity_or_missing_input,The rate is undefined when its player-season denominator is zero. It is also missing when the player sheet lacks the required tracking field or lineup-derived possession exposure.,same_season_median,0,0
